amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
112-2272745-5445854	112-2272745-5445854	2018-07-04T05:02:35+00:00	2018-07-08T21:32:19+00:00	Shipped	Amazon	Amazon.com			Standard	ZAIAI Sports Bras For Women Plus Size Rose Red 36	N2716YMH36	B074QFDH8R	Shipped	1	USD	5.41		3.48					3.48	FOREST HILLS	NY	11375-6442	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
114-1224327-5727408	114-1224327-5727408	2018-07-03T23:15:38+00:00	2018-07-05T20:30:47+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Florence Halter Dress with Garter and Stockings White	DDBNYW0	B074FPYB9N	Shipped	1	USD	15.99								KANSAS CITY	MO	64152-4651	US		false		
114-5898797-5547423	114-5898797-5547423	2018-07-03T13:55:29+00:00	2018-07-03T21:40:53+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's Pushup Bra Panty Set Orange 44	N31459YJS46	B074CXNWMZ	Shipped	1	USD	13.9								Brunswick	ga	31523	US		false		
114-6296290-7741065	114-6296290-7741065	2018-07-03T13:47:14+00:00	2018-07-05T22:25:32+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra Pack of 2 Rose/Purple Melange M	NY-XUHM332-HS-M	B07BKNWPWQ	Shipped	1	USD	12.99								GLENDALE	CA	91203-2431	US		false		
111-7400833-5654634	111-7400833-5654634	2018-07-03T12:53:06+00:00	2018-07-05T18:57:39+00:00	Shipped	Amazon	Amazon.com			Standard	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra Pack of 2 Rose/Purple Melange M	NY-XUHM332-HS-M	B07BKNWPWQ	Shipped	1	USD	12.99	1.07							EDMOND	OK	73013-8143	US		false		
112-7992276-7271460	112-7992276-7271460	2018-07-03T12:27:47+00:00	2018-07-03T21:30:46+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's White Linen Pants Casual Loose Linen Cropped Wide Leg Pants(White,L)	KTKXKW0L	B073XMFYWX	Shipped	1	USD	22.99								bronx	new york	10473	US		false		
111-8577536-2968265	111-8577536-2968265	2018-07-03T00:23:05+00:00	2018-07-03T22:15:31+00:00	Shipped	Amazon	Amazon.com			Standard	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,XL)	JBL-QFFMR5XL	B073F1HX4C	Shipped	1	USD	20.9								SINCLAIRVILLE	NY	14782-0885	US		false		
111-3184099-3909859	111-3184099-3909859	2018-07-02T21:54:23+00:00	2018-07-05T18:01:22+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								Bethesda	MD	20814	US		false		
113-4532747-0031465	113-4532747-0031465	2018-07-02T19:34:11+00:00	2018-07-03T08:49:47+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women Bras and Panties Sexy Bra Lake Blue 38	N2716YHL38	B074QQ5S79	Shipped	1	USD	7.97								GRASS VALLEY	CA	95949-6801	US		false		
112-8294697-9454664	112-8294697-9454664	2018-07-02T17:55:23+00:00	2018-07-04T15:52:38+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women Bras Nursing Bra Black 34	N531YK036	B074K4DJKF	Shipped	1	USD	10.39								ROCHESTER	NY	14606-2656	US		false		
114-4616806-3261041	114-4616806-3261041	2018-07-02T15:30:10+00:00	2018-07-04T00:48:32+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Boyshort Panties Women Sexy Lace Fun Underwear Briefs Ladies Knickers Womens Triangle Thong Black S	NK-XUHM001-K0-S	B078WR3XZL	Shipped	1	USD	5.59								HERNDON	VA	20170-4078	US		false		
114-6754022-2784262	114-6754022-2784262	2018-07-02T15:12:02+00:00	2018-07-02T21:32:23+00:00	Shipped	Amazon	Amazon.com			Expedited	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9		5.99						La Mesa	CA	91941	US		false		
111-7634156-8035416	111-7634156-8035416	2018-07-02T05:08:21+00:00	2018-07-04T04:40:26+00:00	Shipped	Amazon	Amazon.com			NextDay	ZAIAI Women's Lace Bralette Wireless Band Lace Bra Light Purple XL	NY-XUHM463-P0-XL	B07BKQDRB2	Shipped	1	USD	15.99		3.99						San Bernardino	CA	92407	US		true		
111-7634156-8035416	111-7634156-8035416	2018-07-02T05:08:21+00:00	2018-07-04T04:40:26+00:00	Shipped	Amazon	Amazon.com			NextDay	ZAIAI Women Super Soft Lace Bra Top Seamless Bralette Cup Wireless Bra Black XL	NY-XUHM463-K0-XL	B07BKQLKBG	Cancelled	0										San Bernardino	CA	92407	US		true		
111-9643655-9460218	111-9643655-9460218	2018-07-02T02:04:48+00:00	2018-07-03T03:56:12+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Microfiber Longline Lace Bralette Black L	NY-XUHM002-K0-L	B07BKR7DCF	Shipped	1	USD	16.99								Rockledge	Florida	32955	US		false		
111-9301790-5621009	111-9301790-5621009	2018-07-02T00:20:42+00:00	2018-07-03T04:50:26+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								Newton	MA	02459	US		false		
112-4979947-0730607	112-4979947-0730607	2018-07-02T00:08:11+00:00	2018-07-04T02:39:46+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women Floral Lace Bralette Padded Breathable Sexy Racerback Lace Bra Bustier Black L	NY-B15016-K0-L	B078NQ9D6V	Shipped	1	USD	18.99								CHANHASSEN	MN	55317-7624	US		false		
