Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved: Customer Order	Reserved: FC Transfer	Reserved: FC Processing
LYQ-BS-K1010-Z0-L	X000NIARMN	B01NCE22FH	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	11	0	0	11
LYQ-BS-K1010-R0-XS	X000O1KWZL	B01N5J3B2Z	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	0	0	2
LYQ-BS-TW03-K0-S	X000R86Z6L	B0761R3ZRD	Summer Mae Women Tunic Swing T-Shirt Dress Long Sleeve Striped Dress Black S	1	0	0	1
LYQ-BS-TW03-B0-XL	X000R86ZHF	B0761SH5JQ	Summer Mae Women Tunic Swing T-Shirt Dress Long Sleeve Striped Dress Dark Blue XL	1	0	0	1
LYQ-BS-K1010-Z0-XS	X000NICQQ3	B06XZ37ZL7	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	4	0	0	4
LYQ-BS-LB01-K0-S	X000R86QND	B0761RMNH4	Summer Mae Women Polo Neck Casual Bell Sleeve Swing Smock Dress Long Sleeve Trumpet Sleeves Black S	1	0	0	1
LYQ-BS-TW03-K0-XXL	X000R8PWF1	B0761RCNCJ	Summer Mae Women Tunic Swing T-Shirt Dress Long Sleeve Striped Dress Black XXL	1	0	0	1
LYQ-BS-K1010-Z0-S	X000NI8TN7	B01N0KISRL	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	19	0	0	19
LYQ-BS-K1010-Z0-XL	X000NIBCW7	B01N7BWCPD	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	5	0	0	5
LYQ-CSM048-G0-L	X000QNCSVD	B074P1GP2V	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	2	0	0	2
LYQ-CSM048-ZL-S	X000QN8VLJ	B074NZSNZ4	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-E0-M	X000N2UGKH	B01N53S23K	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	4	0	0	4
LYQ-BS-ZQ2973-MH-L	X000NKRY5J	B01NCQT6ZF	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	2	0	0	2
LYQ-BS4600-P0-M	X000PM7GFD	B01N4K9SIU	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Purple M	1	0	0	1
LYQ-CSM048-K0-M	X000QNCSOF	B074NZ3TFH	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	2	0	0	2
LYQ-BS-ZQ2973-KQ-S	X000NJSN1T	B01N76B2TU	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	3	0	0	3
LYQ-BS4600-N0-XL	X000MZ7KSL	B01NBB82MQ	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Brown XL	1	0	0	1
LYQ-BS4600-G1-L	X000NM0YBX	B01N78VJ9M	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Army Green L	5	0	0	5
LYQ-CSM048-GR1-M	X000QNCSO5	B074P35TRN	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	3	0	0	3
LYQ-BS-ZQ2973-BD-S	X000NKRYDL	B01N53S3NF	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	3	0	0	3
LYQ-BS-ZQ2973-KQ-XL	X000NKRYDB	B01MSNG54S	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	4	1	0	3
LYQ-CSM048-G0-M	X000QNCSOZ	B074NZXHN4	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	1	0	0	1
LYQ-BS-ZQ2973-MH-M	X000NMVLWT	B01N6LKLSS	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
LYQ-BS4600-G1-S	X000NJNHU1	B01N78VKOR	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Army Green S	1	0	0	1
LYQ-BS-ZQ2973-K0-XL	X000NM3ODX	B01N6LKN1Q	Summer Mae Women's Long Sleeve Plain A Line Cable Knit Sweater Dress	1	0	0	1
LYQ-CSM048-GR0-L	X000QNCSRR	B074P33GBK	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	2	0	0	2
LYQ-BS4600-N0-L	X000NO4KZ7	B01N560GOX	Summer Mae Women's Long Sleeve Striped Shirt Back Lace Blouse Tunic Brown L	1	0	0	1
LYQ-CSM048-GR1-L	X000QNH4FN	B074P5RQR3	Summer Mae Women's Loose Casual Solid Long Sleeve Jumper Dress with Pockets and Mock Turtleneck	3	0	0	3
