sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-HB4032-RO-XXL	X000P1QT8T	B06XS6MPRY	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB5308-BO-L	X000OYU9E7	B06XWWLLPF		Unknown					0	0	0	0	0		0	0	0
BS-HB6008-KO-M	X000PWC2K7	B06Y675BCK	Summer Mae Bikinis Impresión Floral Traje de baño de alta cintura Elegante para Mujer	New	30.00	No		Yes	0	0	0	0	0	1199.21	0	0	0
BS-HB6008-KO-S	X000PWOIBN	B06Y68W52F	Summer Mae Bikinis Impresión Floral Traje de baño de alta cintura Elegante para Mujer	New	30.00	No		Yes	5	5	0	0	5	1270.16	0	0	0
BS-HB8143-BO-L	X000Q01PJR	B06XQ1524K		Unknown					0	0	0	0	0		0	0	0
BS-HB8143-KO-M	X000Q02681	B06XPJ3F96		Unknown					0	0	0	0	0		0	0	0
BS-HB8143-KO-S	X000Q0263V	B06XPJ3F96		Unknown					0	0	0	0	0		0	0	0
BS-MY-1503-K0-2XL	X000PISR41	B06WCZXF3W	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	1	0	0	1	1	1794.06	0	0	0
BS-MY-1503-K0-3XL	X000PJY3H5	B06VT64ZXD	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	9	8	1	0	9	1794.06	0	0	0
BS-MY-1503-K0-L	X000PJY3GV	B06WLH8K89	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	5	5	0	0	5	1794.06	0	0	0
BS-MY-1503-K0-M	X000PKUOC7	B06VSZVQPR	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	1	0	0	1	11	1794.06	10	0	0
BS-MY-1503-K0-XL	X000PKUOCR	B06WD11FNS	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	0	0	0	0	0	1794.06	0	0	0
BS-MY-1503-W0-2XL	X000PJY3EX	B06W52N684	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	2	1	0	1	2	1794.06	0	0	0
BS-MY-1503-W0-3XL	X000PISR5P	B06WCZWPKW	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	2	2	0	0	2	1794.06	0	0	0
BS-MY-1503-W0-L	X000PIVXHT	B06W2GP6PJ	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	7	6	1	0	8	1794.06	1	0	0
BS-MY-1503-W0-M	X000PISR3H	B06WLHGK71	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	8	7	0	1	8	1794.06	0	0	0
BS-MY-1503-W0-XL	X000PILF3L	B06WGM4MNC	Summer Mae Traje de Una Pieza Clásico y Elegante para Mujer	New	30.00	No		Yes	9	8	1	0	9	1794.06	0	0	0
BS-MY111-B0-L	X000PLPB5L	B071LTWW7P	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	0	0	0	0	0	2538.03	0	0	0
BS-MY111-B0-M	X000PHXAB7	B0719XB27K	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	6	6	0	0	6	2538.03	0	0	0
BS-MY111-B0-S	X000PLPB5V	B07125GXYP	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	8	8	0	0	8	2538.03	0	0	0
BS-MY111-B0-XL	X000PLPM3H	B072M2GWPB	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	0	0	0	0	0	2538.03	0	0	0
BS-MY111-K0-M	X000PLPZW5	B071PFKGTL	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	1	0	0	1	1	2538.03	0	0	0
BS-MYQZ1709-K0-M	X000OBC7WR	B06XT1G4PS	Summer Mae Traje de una pieza Aleteo con Cordón Falda - Mujer	New	30.00	No		Yes	0	0	0	0	0	5354.64	0	0	0
BS-PW-YH115-M3-M	X000P9LATJ	B071CP42PK	Summer Mae Mujer Encantador Vestir De Gasa Impreso	New	39.00	No		Yes	1	0	0	1	1	1692.13	0	0	0
