"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07CQNWD45","B01MDUDF3T","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","3","0.05%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01MU8UHQP","B01MQLQYKR","Zapatillas Casa Invierno Interior Suave Animales Gato Mujer","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MQPQALH","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MQPQDX8","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MQPQHB5","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","3","0.05%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N4G3471","B01MQVW9DX","Summer Mae Mujer Botas de Nieve de Punto Unidas","12","0.25%","16","0.26%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01MRGTJF3","Summer Mae Panda Diversión Zapatillas Botas Caliente","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01MRGTK3G","Summer Mae Panda Diversión Zapatillas Botas Caliente","4","0.08%","5","0.08%","80%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MRR4GGW","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MS11ABV","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MS11C7L","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MS11D3B","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","5","0.10%","6","0.10%","83%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MT2QB36","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6CTFQ9","B01MT3SIVR","Summer Mae Mujer Alinear Vestido De Punto","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF8J7J","B01MTQA4QN","Summer Mae Mujer Bañador De Una Pieza De Nadar Rizado","1","0.02%","2","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8WYPJ","B01MTUSP6K","Summer Mae Mujer Vestido Gedrucktes Barock","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N3XGSPJ","B01MXHXWAM","Summer Mae Zapatillas casa Para Unisexo Antideslizante Pelusa Corta Invierno","3","0.06%","3","0.05%","100%","1","0","33.33%","0.00%","€6.80","€0.00","1","0"
"B06VTF8J7J","B01MXNZV6W","Summer Mae Mujer Bañador De Una Pieza De Nadar Rizado","5","0.10%","6","0.10%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF8J7J","B01MXNZVAG","Summer Mae Mujer Bañador De Una Pieza De Nadar Rizado","2","0.04%","3","0.05%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N4G3471","B01MYZMRWZ","Summer Mae Mujer Botas de Nieve de Punto Unidas","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N4G3471","B01MYZMV1J","Summer Mae Mujer Botas de Nieve de Punto Unidas","10","0.20%","10","0.16%","90%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MZ3GE8A","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","3","0.06%","3","0.05%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01MZ4HIL3","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€9.90","€0.00","1","0"
"B07CQNWD45","B01MZYYG9U","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8WYPJ","B01MZZGQF1","Summer Mae Mujer Vestido Gedrucktes Barock","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01N0KISRL","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01N1LZPE7","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","2","0.03%","100%","1","0","100.00%","0.00%","€9.90","€0.00","1","0"
"B01N4G3471","B01N1S6RLP","Summer Mae Mujer Botas de Nieve de Punto Unidas","29","0.59%","32","0.51%","97%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N4G3471","B01N1S6RRW","Summer Mae Mujer Botas De Nieve De Punto Unidas","12","0.25%","13","0.21%","85%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01N1Z5YOP","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","10","0.20%","15","0.24%","100%","1","0","10.00%","0.00%","€24.99","€0.00","1","0"
"B07CQNWD45","B01N2YLI1M","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","3","0.06%","4","0.06%","75%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01N30QQDJ","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","15","0.31%","20","0.32%","55%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01N3XGSPJ","B01N3L1AIZ","Summer Mae Zapatillas casa Para Unisexo Antideslizante Pelusa Corta Invierno","2","0.04%","3","0.05%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01N3OVPP5","Summer Mae Panda Diversión Zapatillas Botas Caliente","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
