"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06XCDVXR3","B01F3E3GAI","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Bleu avec Rayure Rouge 38 (L)","0","0.00%","0","0.00%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCDVXR3","B01F3E3PYK","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Bleu avec Rayure Rouge 44 (XXXL)","15","0.17%","19","0.17%","63%","1","0","6.67%","0.00%","€18.99","€0.00","1","0"
"B06XC6LPJZ","B01FXAQNIO","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Bleu Marine M","29","0.34%","38","0.34%","74%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XC6LPJZ","B01FXAQPZK","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Bleu Marine L","26","0.30%","30","0.27%","100%","2","0","7.69%","0.00%","€49.98","€0.00","2","0"
"B06XC6LPJZ","B01FXAQRNK","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Bleu Marine XL","7","0.08%","11","0.10%","100%","2","0","28.57%","0.00%","€49.98","€0.00","2","0"
"B01FXAQTLK","B01FXAQTLK","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Bleu Marine XL","7","0.08%","7","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XC6LPJZ","B01FXAQVH2","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Bleu Marine XXL","14","0.16%","15","0.13%","100%","1","0","7.14%","0.00%","€24.99","€0.00","1","0"
"B06WD218DW","B01G3JENB8","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Azur M","3","0.03%","3","0.03%","100%","1","0","33.33%","0.00%","€19.89","€0.00","1","0"
"B06WD218DW","B01G3JEO62","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Azur XL","11","0.13%","13","0.12%","100%","1","0","9.09%","0.00%","€19.89","€0.00","1","0"
"B06WD218DW","B01G3JEPKM","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Azur XS","6","0.07%","10","0.09%","100%","2","0","33.33%","0.00%","€39.78","€0.00","2","0"
