Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BD-PUHM201-R0-S	X001UTBHZ3	B07G8825R5	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-R0-XL	X001UTDI91	B07G88D94Y	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BX-PUHM000-G0-2XL	X001SU7EJ7	B077GTSZMW	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green 2XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-3XL	X001SU74JR	B077GSM1VR	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green 3XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-4XL	X001SU885B	B077GTC3DD	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green 4XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-5XL	X001SU8AAT	B077GVPYG5	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green 5XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-L	X001SU74K1	B077GVL6JJ	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green L	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-M	X001SU7ELP	B077GSWBSF	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-S	X001STM35D	B077GTG3DN	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green S	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-G0-XL	X001SU6NAD	B077GV12XZ	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
