Merchant SKU	Fulfilment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CA-HM1789-PP-S	X001HG6B0Z	B06XXBSCLJ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	9.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-PP-XL	X001LV9QTT	B06XXF1ZTL	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-PiTW-2XL	X001LWC3T3	B06XXCGVVB	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.00	No		Yes	1	1	0	0	1	1768.98	0	0	0
CA-HM1789-PiTW-M	X001LWBLVT	B06XXDT473	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	1768.98	0	0	0
CA-HM1789-R2-2XL	X001LO24U9	B06XXDC6VV	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-R2-L	X001LOPTBZ	B06XXFXC2B	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	9	9	0	0	9	1768.98	0	0	0
CA-HM1789-R2-M	X001FWQ0O3	B06XXBSFVK	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	19	18	1	0	19	752.33	0	0	0
CA-HM1789-R2-S	X001HGLUY7	B06XXDNKC5	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	17	17	0	0	17	752.33	0	0	0
CA-HM1789-R2-XL	X001FX092L	B06XXBTHN3	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	13	13	0	0	13	752.33	0	0	0
CA-HM1789-W0-2XL	X001FATWAJ	B06XXFTJ3Y	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	9	9	0	0	9	752.33	0	0	0
