snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action
2018-08-24	CA-HM1789-GZ-XL	X001GSYBVZ	B06XWWSHKS	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	1	0	1	0	0	0	0	CAD	1	0.3	0	0.0	0	2	2	5	Low conversion	14.99	14.99	14.99	0.0	Lower price
2018-08-24	LYQ-NA1010-R0-XS	X001ESZ3VT	B01N5J3B2Z	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XS Red	New	3	0	0	1	2	0	0	CAD	1	0.6	2	2.41	0	0	0	0	Low conversion	21.99	21.99	21.99	0.0	Lower price
2018-08-24	SJ-NA204-G0-M	X001FCM4PH	B0136OUA60	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Green, Medium(US Size 6-8)	New	2	0	0	1	1	0	0	CAD	1	0.2	1	0.4	0	0	0	0	Low conversion	26.99	26.99	26.99	0.0	Lower price
2018-08-24	YZ-MC5129-K0-M	X001T66EOL	B07CKVX5SF	MiYang Plus Size Floral Swimwear One Piece Swimdress for Women Skirted Swimsuit Black Medium(US 8-10)	New	4	0	4	0	0	0	0	CAD	4	6.5	0	0.0	0	2	3	4	Low conversion	30.99	30.99	30.99	0.0	Lower price
2018-08-24	YZ-NA5119K0-5XL	X001EAE8TP	B01EJ5VUNW	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black XXX-Large	New	5	0	5	0	0	0	0	CAD	4	5.8	0	0.0	3	13	27	32		35.99	35.99	35.99	0.0	Lower price
2018-08-24	LYQ-NA1010-R0-XL	X001ESDDW5	B01MT2QB36	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XL Red	New	1	0	0	1	0	0	0	CAD	1	0.56	0	0.0	0	0	0	0	Low conversion	21.99	21.99	21.99	0.0	Lower price
2018-08-24	YZ-MCBK187-BD-L	X001T4Z2WD	B07BMVKJ96	Bikini Sets Sport Swimsuit Low Scoop Crop Top High Waisted High Cut Cheeky Bottom	New	4	0	4	0	0	0	0	CAD	0	0.0	0	0.0	1	1	3	3		29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-MC5129-G0YH-L	X001T4WLEP	B07CLMDRC1	MiYang Plus Size Floral Swimwear One Piece Swimdress for Women Skirted Swimsuit Yellow Floral Large(US 12-14)	New	5	0	5	0	0	0	0	CAD	5	8.12	0	0.0	0	0	0	0	Low conversion	30.99	30.99	30.99	0.0	Lower price
2018-08-24	YZ-MC5020TW-XL	X001TT0EDF	B01HPQQJ9M	MiYang Women's One Piece High Waist Printing Swim Dress Padded Swimwear	New	1	0	1	0	0	0	0	CAD	0	0.0	0	0.0	0	0	0	0	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ7438B0L	X0014U4LHJ	B01F78AVPI	MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress M Blue	New	2	0	2	0	0	0	0	CAD	2	2.45	0	0.0	0	0	0	0	Low conversion	32.99	32.99	32.99	0.0	Lower price
2018-08-24	LYQ-NA1010-Z0-S	X001F1D4JD	B01N0KISRL	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress S Violet	New	5	0	1	0	4	0	0	CAD	3	1.81	2	2.41	0	0	1	1	Low conversion	21.99	21.99	21.99	0.0	Lower price
