Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YULQ200-PI-10	X001PUE3FD	B07B9Q774Z	Cheap Silicone Reborn Baby Dolls Look Real Girl Pink Outfit with Bee 10 Inches	New	125.00	No		Yes	13	13	0	0	13	0.14	0	0	0
DO-YULQ200-W0-10	X001PVQ96D	B07B94LQJR	Cheap Silicone Reborn Baby Dolls Look Real Boy White Outfit with Bee 10 Inches	New	125.00	No		Yes	9	7	0	2	9	0.2	0	0	0
DO-YULQ203-P4-22	X001PQVLIJ	B0793R99F1	Real Looking Reborn Baby Dolls Girl Silicone Light Purple Tutu Skirt 22 Inches	New	89.99	No		Yes	16	16	0	0	16	0.25	0	0	0
DO-YULQ220-R2-22	X001OSDA9B	B079DPVXXZ	Sleeping Reborn Baby Dolls Girl Half Silicone Vinyl Body Lifelike Toddler with Toy Bear Rose Red Outfit 22 inches	New	256.00	No		Yes	3	3	0	0	3	0.86	0	0	0
DO-YULQ230-PI-16	X001P2UNW3	B0795M8J8G	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 Inches	New	79.99	No		Yes	21	19	1	1	21	0.08	0	0	0
DO-YULQ232-W0-10	X001SVWJ1T	B07DL5ZGP8	10 inches Full Silicone Mini Palm Reborn Baby Doll Look Real Girl Toddler Eye Closed White Dress Flower Hair Band	New	79.99	No		Yes	12	8	1	3	12	0.09	0	0	0
DO-YULQ259-PI-22	X001T4ON0Z	B07DQH5M4P		Unknown					0	0	0	0	0		0	0	0
DO-YULQ330-PI-18	B0792VK5C4	B0792VK5C4		Unknown					0	0	0	0	0		0	0	0
DO-YULQ332-LGR-20	X001PZYR5T	B0792VHP6W	Sleeping Reborn Baby Dolls Boy Look Real Stripe Outfit with Panda Pattern 20 inches	New	175.00	No		Yes	9	9	0	0	9	0.67	0	0	0
DO-YULQ350-PI-22	X001Q2ES1J	B0795M8ZGB	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Outfit 22 Inches	New	256.00	No		Yes	8	8	0	0	8	0.25	0	0	0
