snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	DO-YULQ701-PI-22	X001RH0E7Z	B07CM9N213	Yesteria 22 Inches Silicone Reborn Baby Dolls Girl Look Real Rose Red Tutu Skirt Striped Pants	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	3	15	21	Low conversion	156.0	92.99	92.99	0.0	Create Sale	0	84.39	49	0	33.228223	7.636363636363637	0.805174	Standard
2018-08-24	DO-YULQ173-B7-22	X001Q1TXW9	B07BFVYCH2	Yesteria Silicone Reborn Baby Dolls Girl Look Real Lifelike Toddler Light Blue Rose Red Outfit Toy Penguin 22 Inches	New	61	0	61	0	0	0	0	USD	0	0.0	0	0.0	5	30	85	109	Low conversion	179.0	89.99	89.99	0.0	Update inventory settings for:	63	89.99	0	0	0.0	3.824561403508772	48.0375	Oversize
2018-08-24	YF-YULQ905-B7-20	X001P30V3N	B079NX5R9C	Reborn Baby Doll Outfits Boy Accessories for 20"- 22" Light Blue Outfit	New	7	0	7	0	0	0	0	USD	0	0.0	0	0.0	2	9	14	26		49.9	21.99	21.99	0.0	Update inventory settings for:	5	21.99	0	0	0.0	2.4761904761904763	0.45654	Standard
2018-08-24	DO-YULQ812-W0-18	X001Q2E5HB	B0792VKCCR	Yesteria Sleeping Reborn Baby Dolls Boy Look Real Lifelike Toddler Silicone Vinyl Panda Outfit 18 Inches	New	30	0	30	0	0	0	0	USD	0	0.0	0	0.0	1	12	28	40	Low conversion	89.99	89.99	89.99	0.0	Update inventory settings for:	26	89.99	0	0	0.0	2.962962962962963	19.036739999999998	Standard
2018-08-24	DO-YULQ006-PI-10	B078XZR24D	B078XZR24D	African American Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Pink Outfit Small 10 inches	New	2	0	0	0	2	0	0	USD	2	0.37	0	0.0	0	0	1	1	Low traffic	23.99	23.99	23.99	0.0	Advertise listing	1	22.59	42	0	37.67031	0.08	0.108334	Standard
2018-08-24	DO-YULQ042-W0-22	X001PTUFG5	B07B9C9WPT	Silicone Reborn Baby Dolls Boy Whte Outfit with Penguin Pattern 22 inches	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	1	1	1	1	Low traffic	256.0	89.99	89.99	0.0	Create Sale	0	71.99	63	0	492.069622	0.21052631578947367	3.519444	Oversize
2018-08-24	DO-YULQ620-NZ-22	X001OVDBZ1	B079JXQJSM	Silicone Reborn Baby Dolls Girl Look Real Denim Dress 22 Inches	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	4	16	27	31	Low conversion	256.0	86.99	86.99	0.0	Update inventory settings for:	0	0.0	0	0	0.0	10.333333333333334	0.3125	Standard
2018-08-24	NZZH-FLQ52	X001OZFHO5	B077VNWLJW	4 Pcs Reborn Baby Doll Supplies Accessories Magnet Dummy Pacifier Transparent Blue Green Pink	New	11	0	0	1	10	0	0	USD	10	0.18	0	0.0	0	1	4	5	Low traffic	29.99	16.99	16.99	0.0	Lower price	11	16.99	0	0	0.0	0.37037037037037035	0.055704	Standard
2018-08-24	DO-YULQ100-R0-10	X001PVRDSB	B07B9Q9YNG	Silicone Reborn Baby Dolls Look Real Girl Knitted Outfit Red 10 Inches	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	2	3	5	16	Low traffic	125.0	32.99	32.99	0.0	Lower price	3	32.99	0	0	0.0	3.2	0.541668	Standard
2018-08-24	DO-YULQ230-PI-16	X001P2UNW3	B0795M8J8G	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 Inches	New	20	0	20	0	0	0	0	USD	0	0.0	0	0.0	2	9	38	72	Low conversion	79.99	79.99	79.99	0.0	Update inventory settings for:	20	79.99	0	0	0.0	2.9690721649484537	1.66666	Standard
