"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01M98IB8X","B01IOEHIMG","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","4","0.05%","7","0.07%","71%","0","0.00%","CAD0.00","0"
"B01M98IB8X","B01IOEHNK8","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","11","0.13%","11","0.10%","82%","0","0.00%","CAD0.00","0"
"B01M98IB8X","B01IOEHRBS","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","3","0.04%","3","0.03%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01KO0S9JO","MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress XS White","2","0.02%","2","0.02%","50%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01KO0SAIE","MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress S Black","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01KO0SBKQ","MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress M White","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01KO0SCQE","MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress L White","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01KO0SDZY","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XL White","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01LAURKNS","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress 2XL White","3","0.04%","3","0.03%","100%","0","0.00%","CAD0.00","0"
"B01LX2T9AR","B01LX2T9AR","MiYang Women's Floral Lace Beach Bikini Cover-up","49","0.57%","64","0.60%","0%","0","0.00%","CAD0.00","0"
"B01LX2T9AR","B01LY8R00U","MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up Green XL (US Size 10-12)","5","0.06%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01LX2T9AR","B01LZ7UJGB","MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up White XL (US Size 10-12)","3","0.04%","4","0.04%","100%","0","0.00%","CAD0.00","0"
"B01LZNUF5M","B01LZNUF5M","MiYang Women's Fluorescent Halter Neck One Piece Monokinis Swimsuit Bathing Suit","4","0.05%","4","0.04%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01M22DT7M","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress M Brown","1","0.01%","4","0.04%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01M22DUD3","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XS Brown","2","0.02%","2","0.02%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01M256ILK","MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress","74","0.87%","85","0.79%","0%","0","0.00%","CAD0.00","0"
"B071V6TFBN","B01M4GEPS6","MiYang Women's Plush Winter Warm Animal Soft Cute Home Slippers dog 3839","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01M4LAA8J","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit","156","1.82%","222","2.07%","0%","0","0.00%","CAD0.00","0"
"B01M4LQZL4","B01M4LQZL4","MiYang Retro Vintage Striped One Piece Monokini Chevron Lines Swimsuit","68","0.80%","88","0.82%","0%","0","0.00%","CAD0.00","0"
"B01M4NM99X","B01M4NM99X","MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit","515","6.02%","724","6.76%","0%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01M59530X","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress S Brown","3","0.04%","4","0.04%","75%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01M5JCF70","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress S Blue","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M6WKAND","B01M6WKAND","MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress","44","0.51%","58","0.54%","0%","0","0.00%","CAD0.00","0"
"B01M8KNHIV","B01M8KNHIV","MiYang Women's Two Pieces Slim Tankini Suit Bathing Swimwear","40","0.47%","48","0.45%","0%","0","0.00%","CAD0.00","0"
"B01M8QW10I","B01M8QW10I","MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit","5","0.06%","7","0.07%","0%","0","0.00%","CAD0.00","0"
"B01M98IB8X","B01M98IB8X","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","121","1.42%","147","1.37%","0%","0","0.00%","CAD0.00","0"
"B01M9D35Z3","B01M9D35Z3","MiYang Women's Polka Dot Halter Push Up Slim Tankini Padded Swimsuit","53","0.62%","70","0.65%","0%","0","0.00%","CAD0.00","0"
"B071V6TFBN","B01MA1MR40","MiYang Women's Plush Winter Warm Animal Soft Cute Home Slippers dog 3637","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B071V6TFBN","B01MCRF7GA","MiYang Women's Plush Winter Warm Animal Soft Cute Home Slippers dog 3940","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01MDUC8WA","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress L Blue","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01MECWEF9","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","53","0.62%","63","0.59%","0%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01MQJP2YK","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01MQJP47N","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01MRL29E0","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Wine Red","6","0.07%","8","0.07%","88%","0","0.00%","CAD0.00","0"
"B06Y2Y9VT6","B01MRUFE10","MiYang Women's Tankini Striped Vintage Swim Dress","7","0.08%","7","0.07%","57%","0","0.00%","CAD0.00","0"
"B071L3J16X","B01MRY6935","MiYang Women's Long Sleeve Ruffled Casual Loose T-Shirt Dress","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01MSMP0CD","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 5XL/UK size XXL(US Size OX 12W) Wine Red","3","0.04%","4","0.04%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01MSMPBNA","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01MTO5MA8","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Orange","6","0.07%","9","0.08%","89%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01MXLWXE3","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Wine Red","7","0.08%","10","0.09%","60%","0","0.00%","CAD0.00","0"
"B06Y2Y9VT6","B01MYWR3ET","MiYang Women's Tankini Striped Vintage Swim Dress","3","0.04%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01LX2T9AR","B01MZ29NSU","MiYang Women's Floral Lace Beach Bikini Cover-up Navy blue M","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M256ILK","B01MZ3GE8A","MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress S Army Green","1","0.01%","3","0.03%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01N1FYJS2","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01N1FYKJE","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","1","0.01%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01N41KCAA","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Orange","5","0.06%","6","0.06%","100%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01N41KO05","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B071L3J16X","B01N4EO5Q7","MiYang Women's Long Sleeve Ruffled Casual Loose T-Shirt Dress","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01N531MXS","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 5XL/UK size XXL(US Size OX 12W) Orange","6","0.07%","6","0.06%","83%","0","0.00%","CAD0.00","0"
"B01MECWEF9","B01N531UTZ","MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01N563260","B01N563260","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress 4X(US Size:16W-18W)","1","0.01%","1","0.01%","0%","0","0.00%","CAD0.00","0"
"B06Y2Y9VT6","B01N7F779G","MiYang Women's Tankini Striped Vintage Swim Dress","5","0.06%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01N94WF2D","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 4XL/UK size XL,Orange","3","0.04%","4","0.04%","50%","0","0.00%","CAD0.00","0"
"B07DRG8FF1","B01N98BS2V","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B07DRG8FF1","B01N98BSX7","MiYang Women's Plus Size Ruffled One Piece Tankini Printed-Hem Ruffled Swim Dress","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
