Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YELQ073-LGR-22	X000UFJEFF	B0792VRZ89	Yesteria Life Like Reborn Baby Dolls Boy Realistic Toddler Silicone Vinyl Grey Outfit 22 Inch	New	129.99	No		Yes	9	8	0	1	16	18107.71	0	7	0
DO-YELQ100-B7-22	X000SW4KMH	B077SHDMC8	Realistic Reborn Baby Doll Boy Silicone White and Light Blue Outfit 22 Inches	New	129.99	No		Yes	11	8	1	2	11	12585.27	0	0	0
DO-YELQ101-B7-22	X000UVINCT	B079JRPXZ8	Yesteria Real Life Silicone Reborn Baby Dolls Boy Look Real White Outfit 22 Inches	New	119.99	No		Yes	30	29	1	0	30	11073.56	0	0	0
DO-YELQ111-PI-22	X000T05IAL	B0788N9R3H	Yesteria Reborn Baby Doll Girl Look Real Rose Red Tutu Skirt 22 Inches	New	129.99	No		Yes	18	18	0	0	18	22589.57	0	0	0
DO-YELQ111-R2-22	X000TT216L	B07BHNQ7QC	Yesteria Realistic Real Life Reborn Baby Doll Girl Silicone Vinyl Tutu Dress Rose Red 22 Inches	New	129.99	No		Yes	31	27	0	4	37	12638.03	0	6	0
DO-YELQ123-W0-22	X000UEWM55	B07CM52CNC	Yesteria 22 Inch Real Looking Reborn Baby Dolls Girl Silicone Vinyl White European Retro Nightdress	New	129.99	No		Yes	3	3	0	0	3	13137.67	0	0	0
DO-YELQ150-PI-20	X000UULJZD	B07CM664M7	Real Looking Reborn Baby Dolls Girl Silicone Vinyl Eye Closed Pink Pajama 20 inches	New	119.99	No		Yes	2	2	0	0	2	6200.87	0	0	0
DO-YELQ152-B7-22	X000T0G6MP	B0784T23ZQ	Realistic Sleeping Reborn Baby Doll Boy Silicone Light Blue Outfit with Hippo Pattern 22 Inches	New	129.99	No		Yes	3	3	0	0	8	20942.67	0	5	0
DO-YELQ161-B7-22	X000SW4KEF	B076MT3BDS	Yesteria Reborn Baby Doll Boy Look Real Silicone Light Blue Outfit 22 Inches	New	129.99	No		Yes	13	10	1	2	13	16911.61	0	0	0
DO-YELQ161-PI-22	X000SVRFZH	B076MW1Y4F	Yesteria Sleeping Reborn Baby Doll Girl Look Real Silicone Pink Outfit 22 Inches	New	129.99	No		Yes	36	34	0	2	36	14632.01	0	0	0
DO-YELQ163-R0-22	X000SVPRK7	B076P99TGC	Yesteria Sleeping Reborn Baby Doll Boy Look Real Full Silicone Body Red Outfit 22 Inches	New	159.99	No		Yes	19	17	1	1	19	19936.17	0	0	0
DO-YELQ170-SH-22	X000VB64M9	B07F72X354	Yesteria Real Looking Reborn Baby Doll Girl Toddler Floral Princess Dress 24 Inches	New	256.00	No		Yes	5	5	0	0	5	27936.99	0	0	0
DO-YELQ173-B7-21	X000UU8VY5	B07BFVYCH2	Silicone Reborn Baby Dolls Girl Look Real Lifelike Toddler Light Blue Rose Red Outfit with Toy Penguin 22 inches	New	119.99	No		Yes	0	0	0	0	5	22299.52	0	5	0
DO-YELQ203-P4-22	X000UVOLFR	B07DGB6SHX	Yesteria Real Looking Sleeping Reborn Baby Dolls Girl Silicone Light Purple Tutu Skirt 22 Inches	New	119.99	No		Yes	8	8	0	0	8	20033.35	0	0	0
DO-YELQ230-PI-16	X000UU739T	B07DDB7VBP	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 inches	New	109.99	No		Yes	7	7	0	0	7	12299.97	0	0	0
DO-YELQ504-PI-22	X000VAY1T3	B07F71667Y	Yesteria Realistic Reborn Baby Doll Girl Toddler Pink Princess Dress 24 Inches	New	256.00	No		Yes	9	9	0	0	9	28728	0	0	0
DO-YELQ539-PI-16	X000VLDOLD	B07G1WRYLK	Yesteria Real Like Reborn Baby Doll Girl Realistic Soft body Lovely Gift 16 Inches	New	119.00	No		Yes	3	2	0	1	3	21482.95	0	0	0
DO-YELQ601-PI-22	X000SW4P45	B076J2TBNG	Yesteria Real Looking Sleeping Reborn Baby Doll Girl Silicone Pink 22 Inches	New	129.99	No		Yes	58	47	1	10	58	17555.95	0	0	0
DO-YELQ602-PI-22	X000SVPRIT	B076J4L24W	Yesteria Sleeping Reborn Baby Doll Girl Look Real Silicone Pink with Cow Pattern Outfit 22 Inches	New	129.99	No		Yes	49	49	0	0	49	16587.97	0	0	0
