"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B004H02GDI","B004H02GDI","Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block","277","4.12%","358","4.07%","69%","26","0","9.39%","0.00%","US$475.74","US$0.00","23","0"
"B004H07J80","B004H07J80","Premier Dead Sea Aromatherapy Mineral Body Treatment, Silver, Salt Scrub, 425-Grams","305","4.54%","407","4.63%","64%","50","0","16.39%","0.00%","US$947.00","US$0.00","45","0"
"B004H07KKC","B004H07KKC","Premier Dead Sea Skin Toner for Normal/Oily Skin, Pink, 8.4535-Fluid Ounce","4","0.06%","6","0.07%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPD5NYY","B004H07KKC","Premier Dead Sea Skin Toner for Normal/Oily Skin, Pink, 8.4535-Fluid Ounce","6","0.09%","8","0.09%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B004H09KEQ","B004H09KEQ","Premier Dead Sea Luxury Facial Cleanser with Micro Grains, 4.25-Fluid Ounce","254","3.78%","335","3.81%","13%","8","0","3.15%","0.00%","US$191.92","US$0.00","8","0"
"B004HTXUNE","B004HTXUNE","Premier Dead Sea Luxury Hand Cream 125ml/4.25fl.oz","110","1.64%","141","1.60%","4%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B004OEUPGM","B004OEUPGM","Exfoliating Body Scrub (Passion Fruit and Lime)","13","0.19%","21","0.24%","95%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B004OF47N8","B004OF47N8","Silky Body Butter (Apple, Green Tea, and Ginger)5.95 ounces","103","1.53%","149","1.70%","85%","26","0","25.24%","0.00%","US$440.69","US$0.00","23","0"
"B004OF9EPO","B004OF9EPO","Gratiae AHA Cleansing and Peeling Foam","100","1.49%","147","1.67%","78%","36","0","36.00%","0.00%","US$1,092.00","US$0.00","30","0"
"B004X9BSG4","B004X9BSG4","Gratiae Organics Lifting Facial Mask, 1.7 Ounce","46","0.68%","59","0.67%","80%","2","0","4.35%","0.00%","US$51.98","US$0.00","2","0"
"B07DPGBQNR","B004X9BSG4","Gratiae Organics Lifting Facial Mask, 1.7 Ounce","12","0.18%","17","0.19%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B004X9BTFY","B004X9BTFY","Gratiae Organics Exfoliating Body Scrub, Passion Fruit and Lime, 425-Grams","123","1.83%","186","2.12%","0%","3","0","2.44%","0.00%","US$83.76","US$0.00","1","0"
"B0052K03KA","B0052K03KA","Premier Dead Sea Essential Face Cleanser for Men","52","0.77%","70","0.80%","37%","10","0","19.23%","0.00%","US$224.38","US$0.00","9","0"
"B07DPHB3FD","B0052K03KA","Premier Dead Sea Essential Face Cleanser for Men","10","0.15%","12","0.14%","100%","8","0","80.00%","0.00%","US$132.79","US$0.00","7","0"
"B00BD3OU72","B00BD3OU72","Premier Dead Sea Para-pharmaceutical Exfoliating Facial Gel, Brown, 4.3958-Fluid Ounce","40","0.60%","52","0.59%","96%","11","0","27.50%","0.00%","US$283.82","US$0.00","10","0"
