Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
LYQ-MU1059-DGR-M	X001RYBHUB	B07CYX7N5R	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	1	0	0	1
SJ-ZZN204ZL-XL	X001B4Y7NV	B01N9K3ZDT	MiYang Women's Floral Lace Beach Bikini Cover-up ZL XL	1	0	0	1
SJ-ZZN204ZL-M	X001B4E38P	B01MZ29NSU	MiYang Women's Floral Lace Beach Bikini Cover-up ZL M Navy Blue	4	0	3	1
SJ-ZZN204W03L	X000XADATV	B019O6JIL2	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up White XL (US Size 10-12)	2	1	0	1
SJ-ZZN204G03L	X000XADATB	B019O6JLG4	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up Green XL (US Size 10-12)	1	1	0	0
SJ-ZZN204B0-L	X001F68CIL	B0714DQZMS	MiYang Women's Floral Lace Beach Bikini Cover-up L	1	0	0	1
SJ-ZZN204W0L	X000TVTWSH	B0136OUC9K	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, White, Small(US Size 4-8)	1	0	1	0
SJ-ZZN204K02L	X000TNF6RV	B0136OUG1E	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Black, Large(US Size 10-12)	7	2	2	3
SJ-ZZN204K0	X000TEKHGF	B010SPPG3W	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up Black XS(US Size 0-2)	3	1	1	1
SJ-ZZN204K0L	X000TNF6RL	B0136OUD6C	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Black, Small(US Size 4-8)	5	2	2	1
SJ-ZZN204G04L	X0017NNZ39	B01LY8R00U	MiYang Women 's Floral Lace Beach Bikini Swimwear Cover-up XX-Large(US Size 14-16) Green	2	0	1	1
SJ-ZZN204R04L	X0017OZUYZ	B01LZ7UEO4	MiYang Women 's Floral Lace Beach Bikini Swimwear Cover-up XX-Large(US Size 14-16) Red	2	1	1	0
SJ-ZZN204K0XL	X000TNF6RB	B0136OUEKW	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Black, Medium(US Size 8-10)	12	3	7	2
SJ-ZZN204B0-2XL	X001F6BA53	B071Z99JF8	MiYang Women's Floral Lace Beach Bikini Cover-up XXL	1	0	0	1
SJ-ZZN204ZL-S	X001B4M5Q7	B01N6JCAQV	MiYang Women's Floral Lace Beach Bikini Cover-up ZL S	1	0	1	0
SJ-ZZN204ZL-2XL	X001BANANX	B01NBN4NKM	MiYang Women's Floral Lace Beach Bikini Cover-up ZL XXL Navy Blue	1	0	0	1
SJ-ZZN204W04L	X0017NLOUZ	B01LZ7UJGB	MiYang Women 's Floral Lace Beach Bikini Swimwear Cover-up XX-Large(US Size 14-16) White	11	0	7	4
SJ-ZZN204G0L	X000TVTWVT	B0136OUGWS	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Green, Small(US Size 4-8)	1	0	0	1
SJ-ZZN204W0	X000TLXPPX	B010SPNUJ4	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, White, X-Small(US Size 0-4)	5	0	4	1
SJ-ZZN204K03L	X000WIFO2F	B0187LCMLS	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Black, X-Large(US Size 10-12)	16	4	7	5
SJ-ZZN204K04L	X0014Z55XX	B01HGFEEFI	MiYang Women 's Floral Lace Beach Bikini Swimwear Cover-up XX-Large(US Size 14-16) Black	6	2	3	1
TK-J01H-K0-10/12	X001GBKZU3	B072K4LYMS	Teenking Boy's Fleece Outdoor Jacket Big Boy(Size 10/12)	1	1	0	0
STJ-1235W0	X00133KZHR	B01D6AY8K8	MiYang Women's Oversized Cover up Baggy T-Shirt Swimsuit Beach Dress	1	1	0	0
TK-J01H-SH-7	X001GC16Y1	B071JXWM2T	Teenking Boy's Fleece Outdoor Jacket Little Boy(Size 7)	1	0	1	0
TK-J02H-SH-14/16	X001GBQKW5	B071GBPHL3	Teenking Boy's Fleece Outdoor Jacket with Hood Big Boy(Size 14/16)	1	0	0	1
TK-J02H-K0-7	X001GC16YB	B071WW5ZWF	Teenking Boy's Fleece Outdoor Jacket with Hood Little Boy(Size 7)	1	1	0	0
TK-J02H-SH-2T	X001JR73U9	B074Z3CM2B	Teenking Boy's Fleece Outdoor Jacket with Hood Little Boy(2T)	1	0	0	1
TK-J02H-SH-7	X001GBF5QH	B071JY2YXB	Teenking Boy's Fleece Outdoor Jacket with Hood Little Boy(Size 7)	1	0	0	1
TK-J02H-SH-10/12	X001GBQL51	B071WVZMN9	Teenking Boy's Fleece Outdoor Jacket with Hood Big Boy(Size 10/12)	1	0	0	1
TK-J02H-GR-3T	X001JR6XT1	B074Z47CNR	Teenking Boy's Fleece Outdoor Jacket with Hood Little Boy(3T)	1	0	0	1
XZ-013GR1XL	X0013HJ01Z	B0191JTBIM	Women's Warm Plush Soft Sole Indoor Slipper(US Size:9-10.5 B(M) US,Grey Open Back)	1	0	0	1
XZ-013GR1M	X0013MHK4J	B0191JT966	Women's Warm Plush Soft Sole Indoor Slipper(US Size:5-6.5 B(M) US,Grey Open Back)	1	0	0	1
XZ-2115Li35	X0013NDP5B	B01966VV6A	Women's Sheep Warm Plush Soft Sole Indoor Slipper	1	0	0	1
XZ-2115Pi39	X000XCK9X9	B019670R3M	Women's Sheep Warm Plush Soft Sole Indoor Slipper	2	0	0	2
XZ-013GR2XL	X0013L2R4X	B0191JT3DA	Women's Warm Plush Soft Sole Indoor Slipper (US Size:9-10.5,Grey(Low-top)	1	0	0	1
XZ-2115Pi37	X000XCK9WF	B019670P2U	Women's Sheep Warm Plush Soft Sole Indoor Slipper	3	1	1	1
XZ-2115Pi35	X000XCK9VV	B019670NIQ	Women's Sheep Warm Plush Soft Sole Indoor Slipper	1	0	1	0
XZ-013GR3M	X0013KJ5BR	B0191JSJSA	Women's Warm Plush Soft Sole Indoor Slipper Grey(High Top) 5-6.5 B(M) US	1	0	0	1
XZ-2115Gr36	X000XCK9XT	B01966VRO6	Women's Sheep Warm Plush Soft Sole Indoor Slipper	2	1	1	0
XZ-CL05-BE-4041	X001NQCLVR	B078J2JWXQ	Womens Indoor Warm Fleece Slippers, Ladies Girls Cute Cartoon Winter Soft Cozy Booties Non-Slip Plush Mules Home Bedroom Slip-On Shoes Ankle Boots (US Size:7-8.5 (EUR Size: 40/41), Cream Teddy Bear)	1	0	0	1
XZ-CL05-BE-3637	X001NQ98VX	B078HVV4XF	Womens Indoor Warm Fleece Slippers, Ladies Girls Cute Cartoon Winter Soft Cozy Booties Non-Slip Plush Mules Home Bedroom Slip-On Shoes Ankle Boots (US Size:4-5.5 (EUR Size: 36/37), Cream Teddy Bear)	1	0	0	1
XZ-HM029-K0-43-45	X0018EW5JH	B01LSJHV8K	GaraTia Winter Polar Bear Slippers for Women House Winter Indoor Shoes	1	0	1	0
XZ-HM801-Bear-CO-3637	X001ATZ16J	B01M1CEK3T	Womens Indoor Warm Bear Slippers	1	0	0	1
