sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
LYQ-MU18-G7-L	X001OF0OKH	B0792QXZRD	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Light Green Large	New	35.00	No		Yes	33	33	0	0	33	0.13	0	0	0
LYQ-MU18-G7-M	X001OF21K3	B0792QJHWP	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Light Green Medium	New	35.00	No		Yes	35	35	0	0	35	0.13	0	0	0
LYQ-MU18-G7-S	X001ODM37L	B0792PP4WJ	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Light Green Small	New	35.00	No		Yes	40	40	0	0	40	0.13	0	0	0
LYQ-MU18-G7-XL	X001ODOJJV	B0792PZQHK	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Light Green X-Large	New	35.00	No		Yes	33	33	0	0	33	0.13	0	0	0
LYQ-MU18-K0-L	X001OEZFPH	B0792S5PXS	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Black Large	New	35.00	No		Yes	32	32	0	0	32	0.13	0	0	0
LYQ-MU18-K0-M	X001OEEM65	B0792Q4BXZ	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Black Medium	New	35.00	No		Yes	30	30	0	0	30	0.13	0	0	0
LYQ-MU18-K0-S	X001OEETQX	B0792QMWW8	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Black Small	New	35.00	No		Yes	79	79	0	0	79	0.13	0	0	0
LYQ-MU18-K0-XL	X001OF0OV1	B0792R8JYL	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Black X-Large	New	35.00	No		Yes	15	15	0	0	15	0.13	0	0	0
LYQ-MU18-N0-L	X001ODLZYN	B0792S3RPS	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Brown Large	New	35.00	No		Yes	21	21	0	0	21	0.13	0	0	0
LYQ-MU18-N0-S	X001ODM37B	B0792QCKVS	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Brown Small	New	35.00	No		Yes	21	21	0	0	21	0.13	0	0	0
LYQ-MU18-N0-XL	X001OF0OK7	B0792SDVYK	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Brown X-Large	New	35.00	No		Yes	16	16	0	0	16	0.13	0	0	0
LYQ-MU18-Y0-L	X001ODOOE1	B0792QNLK9	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Beige Large	New	35.00	No		Yes	24	24	0	0	24	0.13	0	0	0
LYQ-MU18-Y0-XL	X001OEEQA7	B0792QY26V	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Beige X-Large	New	35.00	No		Yes	24	24	0	0	24	0.13	0	0	0
LYQ-MU18-ZL-M	X001OF1ERT	B0792PS2PM	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Navy Blue Medium	New	35.00	No		Yes	24	24	0	0	24	0.13	0	0	0
LYQ-MU18-ZL-S	X001OEEQ9X	B0792RYKS1	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Navy Blue Small	New	35.00	No		Yes	20	20	0	0	20	0.13	0	0	0
LYQ-MU18-ZL-XL	X001OF0OUR	B0792Q2BH3	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Navy Blue X-Large	New	35.00	No		Yes	18	18	0	0	18	0.13	0	0	0
LYQ-MUCL628-BD-L	X001QQZZ85	B07BWGR37K	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Wine Red L (US8-10)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-BD-M	X001QR3F63	B07CB4P8BQ	Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Wine Red M (US4-6)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
LYQ-MUCL628-BD-S	X001QR3F8B	B07BWH154F	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Wine Red S (US0-2)	New	13.99	No		Yes	1	1	0	0	1	0.05	0	0	0
LYQ-MUCL628-BD-XL	X001QQZZ7L	B07BW1G73B	MiYang Short Sleeve Cold Shoulder T-Shirt Dress Solid Color Tunics with Pockets for Women Wine Red XL (US12-14)	New	13.99	No		Yes	0	0	0	0	0	0.05	0	0	0
