amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-9451225-5243428	B074P5N47H	2018-08-14T12:31:37+00:00	2018-08-21T07:33:42+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Sapphire Small	ST005-BL2-S	B074P5N47H	Unshipped	9										Baton Rouge	LA	70808	US		false		
S01-1873971-9739460	B074P2B6M8	2018-08-14T12:30:46+00:00	2018-08-19T19:32:34+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button up Casual Shirts Blue Small	ST006-BL-S	B074P2B6M8	Unshipped	9										Baton Rouge	LA	70808	US		false		
S01-3803044-3572269	B074NQZMVQ	2018-08-14T12:29:53+00:00	2018-08-18T07:03:04+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button up Casual Shirts Coffee Small	ST006-CF-S	B074NQZMVQ	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-6337389-1641030	B074P1LKV2	2018-08-14T12:29:01+00:00	2018-08-17T02:57:26+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button up Casual Shirts Green Small	ST006-GN-S	B074P1LKV2	Unshipped	7										Baton Rouge	LA	70808	US		false		
S01-1967186-9051445	B07173Q2FN	2018-08-14T12:28:17+00:00	2018-08-15T22:39:24+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts White and Navy Small	ST166-K33-4-S	B07173Q2FN	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-6682694-7402643	B073PQXDQX	2018-08-14T12:27:27+00:00	2018-08-21T23:38:24+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Sapphire,Small	ST171-Sa911-S	B073PQXDQX	Unshipped	13										Baton Rouge	LA	70808	US		false		
S01-1019280-6604218	B074T24DYN	2018-08-14T12:26:41+00:00	2018-08-19T23:26:55+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Black Medium	ST172-BK-M	B074T24DYN	Unshipped	6										Baton Rouge	LA	70808	US		false		
S01-8592941-9709018	B074SNMHQJ	2018-08-14T12:25:58+00:00	2018-08-16T02:24:08+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Black Small	ST172-BK-S	B074SNMHQJ	Unshipped	2										Baton Rouge	LA	70808	US		false		
S01-5041120-4203441	B074SZ6CL6	2018-08-14T12:25:02+00:00	2018-08-19T03:27:55+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Blue Large	ST172-BL-L	B074SZ6CL6	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-4897292-8333850	B074SZ4SDW	2018-08-14T12:24:22+00:00	2018-08-19T07:31:27+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Long Sleeve Formal Business Dress Shirts Blue Medium	ST172-BL-M	B074SZ4SDW	Unshipped	15										Baton Rouge	LA	70808	US		false		
