"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B076FWKV7V","B017X47VLQ","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress, M (EU 36-38),Dunkellila","8","0.07%","8","0.05%","12%","1","0","12.50%","0.00%","€9.90","€0.00","1","0"
"B076FWKV7V","B017X47WOW","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,L (EU 38-40),Dunkellila","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B0196ETN8U","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Marineblau (EU Size 44-46)","6","0.05%","7","0.04%","100%","1","0","16.67%","0.00%","€13.98","€0.00","1","0"
"B07BLQ4T18","B01A6BXN24","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Marineblau (EU Size 34)","3","0.02%","3","0.02%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01A6BXQDK","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Marineblau (EU Size 36-38)","3","0.02%","5","0.03%","80%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01B184VYA","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Marineblau (EU Size 48)","4","0.03%","4","0.03%","100%","2","0","50.00%","0.00%","€27.96","€0.00","2","0"
"B076FWKV7V","B01BCZBKJ6","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,XL (EU 40-42),Dunkellila","3","0.02%","3","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B01C9TE2BW","Summer Mae Damen Tankini Retro Streifen Badekleider Rosa XXL","14","0.11%","17","0.11%","100%","4","0","28.57%","0.00%","€99.40","€0.00","4","0"
"B06W2GX154","B01DLSN9BY","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","12","0.10%","18","0.11%","94%","2","0","16.67%","0.00%","€33.98","€0.00","2","0"
"B06W2GX154","B01DLSNA3Q","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","70","0.57%","86","0.54%","95%","1","0","1.43%","0.00%","€16.99","€0.00","1","0"
"B06W2GX154","B01DLSNB76","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€16.99","€0.00","1","0"
"B06W2GX154","B01DLSNC8O","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","1","0.01%","1","0.01%","100%","1","0","100.00%","0.00%","€16.99","€0.00","1","0"
"B06W2GX154","B01DLSNCJI","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","87","0.71%","106","0.66%","98%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06W2GX154","B01DLSNDLU","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","42","0.34%","50","0.31%","90%","1","0","2.38%","0.00%","€16.99","€0.00","1","0"
"B06W2GX154","B01DLSNDZG","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","11","0.09%","12","0.08%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01I46KPO2","B01EJ5VO38","Summer Mae Damen Badekleid Plus Size, Schwarz, XL(40-42)","66","0.54%","86","0.54%","86%","11","0","16.67%","0.00%","€274.89","€0.00","11","0"
"B01I46KPO2","B01EJ5VPSW","Summer Mae Damen Badekleid Plus Size, Schwarz, 2XL (42-44)","96","0.78%","122","0.76%","99%","17","0","17.71%","0.00%","€424.83","€0.00","17","0"
"B01I46KPO2","B01EJ5VT60","Summer Mae Damen Badekleid Plus Size, Schwarz, 4XL (46-48)","46","0.38%","73","0.46%","97%","22","0","47.83%","0.00%","€549.78","€0.00","21","0"
"B01I46KPO2","B01EJ5VUNW","Summer Mae Damen Badekleid Plus Size, EU 50-52(Herstellergröße 3XL), Schwarz","75","0.61%","107","0.67%","81%","4","0","5.33%","0.00%","€99.96","€0.00","4","0"
"B01I46KPO2","B01FXAQNIO","Summer Mae Damen Badekleid Plus Size, Marineblau, XL(40-42)","65","0.53%","86","0.54%","92%","6","0","9.23%","0.00%","€149.94","€0.00","6","0"
"B01I46KPO2","B01FXAQPZK","Summer Mae Damen Badekleid Plus Size, Marineblau, 2XL (42-44)","87","0.71%","119","0.74%","89%","5","0","5.75%","0.00%","€124.95","€0.00","5","0"
"B01I46KPO2","B01FXAQRNK","Summer Mae Damen Badekleid Plus Size, Marineblau, 3XL (44-46)","52","0.43%","71","0.44%","100%","13","0","25.00%","0.00%","€324.87","€0.00","13","0"
"B01I46KPO2","B01FXAQTLK","Summer Mae Damen Badekleid Plus Size, Marineblau, 4XL (46-48)","23","0.19%","32","0.20%","100%","4","0","17.39%","0.00%","€99.96","€0.00","4","0"
"B01I46KPO2","B01FXAQVH2","Summer Mae Damen Badekleid Plus Size, Marineblau, 5XL (48-50)","29","0.24%","37","0.23%","100%","16","0","55.17%","0.00%","€399.84","€0.00","16","0"
"B01FY054UG","B01FY054UG","Summer Mae Damen Retro Bademode Neckholder Push Up Badekleid Einteiler mit Röckchen","16","0.13%","23","0.14%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B01G3JENB8","Summer Mae Damen Tankini Retro Streifen Badekleider Hellblau L","14","0.11%","15","0.09%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B01G3JEO62","Summer Mae Damen Tankini Retro Streifen Badekleider Hellblau S","6","0.05%","7","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B01G3JEPKM","Summer Mae Damen Tankini Retro Streifen Badekleider Hellblau XL","11","0.09%","19","0.12%","89%","2","0","18.18%","0.00%","€49.70","€0.00","2","0"
"B07CKKFBBM","B01G3MA2TC","Summer Mae Damen Tankini Retro Streifen Badekleider Hellblau XS","50","0.41%","61","0.38%","93%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01I46KPO2","B01HFYMTRK","Summer Mae Damen Badekleid Plus Size, Schwarz mit Kirsche, 3XL (44-46)","33","0.27%","41","0.26%","22%","3","0","9.09%","0.00%","€74.97","€0.00","3","0"
"B01I46KPO2","B01HFYMV14","Summer Mae Damen Badekleid Plus Size, Schwarz mit Kirsche, 4XL (46-48)","11","0.09%","15","0.09%","100%","2","0","18.18%","0.00%","€49.98","€0.00","2","0"
"B01I46KPO2","B01HFYMW04","Summer Mae Damen Badekleid Plus Size, Schwarz mit Kirsche, XL(40-42)","58","0.47%","81","0.51%","89%","6","0","10.34%","0.00%","€149.94","€0.00","6","0"
"B01I46KPO2","B01HFYMWA4","Summer Mae Damen Badekleid Plus Size, Schwarz mit Kirsche, 5XL (48-50)","1","0.01%","1","0.01%","100%","1","0","100.00%","0.00%","€24.99","€0.00","1","0"
"B01I46KPO2","B01HFYMXUI","Summer Mae Damen Badekleid Plus Size, Schwarz mit Kirsche, 2XL (42-44)","91","0.74%","109","0.68%","100%","8","0","8.79%","0.00%","€199.92","€0.00","8","0"
"B01I46KPO2","B01I46KPO2","Summer Mae Damen Badekleid Plus Size Geblümt Figurformender Einteiler Badeanzug Swimsuit","665","5.44%","987","6.18%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01IOEHIMG","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug ROT (EU Size 34)","5","0.04%","5","0.03%","80%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01IOEHKXS","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug ROT (EU Size 36-38)","2","0.02%","2","0.01%","100%","3","0","150.00%","0.00%","€41.94","€0.00","3","0"
"B07BLQ4T18","B01IOEHM40","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Schwarz (EU Size 34)","7","0.06%","7","0.04%","29%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01IOEHO7A","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug Schwarz (EU Size 36-38)","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01IOEHRBS","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug ROT (EU Size 44-46)","3","0.02%","5","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07BLQ4T18","B01IOEHTKC","Summer Mae Damen Einteiler Swimdress Streifen Slim Badeanzug ROT (EU Size 48)","3","0.02%","3","0.02%","100%","1","0","33.33%","0.00%","€13.98","€0.00","1","0"
"B06W2GX154","B01J71HR3U","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","3","0.02%","5","0.03%","100%","1","0","33.33%","0.00%","€16.99","€0.00","1","0"
"B06W2GX154","B01J71HTJM","Summer MaeDamen Neckholder-Bademode Tankini Figurformender Pusch up Badeanzug","5","0.04%","6","0.04%","100%","1","0","20.00%","0.00%","€16.99","€0.00","1","0"
