"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B06VVT45TS","B07DNXLQ64","One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear","20","0.41%","25","0.42%","100%","1","5.00%","US$19.99","1"
"B06VVT45TS","B07DNY8PJY","One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear","2","0.04%","2","0.03%","100%","1","50.00%","US$19.99","1"
"B01H1Q93C6","B01FQC0K7E","Summer Mae 50s Elegant Inspired Retro Vintage One Piece Pin Up Monokinis Swimsuit,Black,X-Large2(US size:16-18)","7","0.14%","7","0.12%","43%","0","0.00%","US$0.00","0"
"B01H1Q93C6","B01FQC0LAA","Summer Mae 50s Elegant Inspired Retro Vintage One Piece Pin Up Monokinis Swimsuit,Navy Blue,X-Large2(US size:16-18)","6","0.12%","6","0.10%","83%","0","0.00%","US$0.00","0"
"B078MK5YDJ","B01GCGA3J8","Summer Mae Backless One Piece Monokini Halter Pad Bikini Swimsuits Swimwear,Navy Blue,Tag Size M=US Size S","12","0.24%","12","0.20%","100%","0","0.00%","US$0.00","0"
"B01GFMMBY4","B01GFMMBY4","Summer Mae Women's Plus Size Swimdress One Piece Cover up Swimsuit Tankini Beachwear","4","0.08%","6","0.10%","0%","0","0.00%","US$0.00","0"
"B01GFMMBY4","B01GFMMFGS","Summer Mae Women's Plus Size Swimdress One Piece Cover Up Swimsuit Tankini Beachwear 44 Navyblue","6","0.12%","7","0.12%","57%","0","0.00%","US$0.00","0"
"B01GFMMBY4","B01GFMMHAW","Summer Mae Women's Plus Size Swimdress One Piece Cover Up Swimsuit Tankini Beachwear 44 Teal","3","0.06%","4","0.07%","50%","0","0.00%","US$0.00","0"
"B01GFMMBY4","B01GFMMI92","Summer Mae Women's Plus Size Swimdress One Piece Cover Up Swimsuit Tankini Beachwear 46 Teal","14","0.28%","14","0.23%","71%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPAXLU","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit","79","1.60%","109","1.83%","17%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB094","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","6","0.12%","6","0.10%","67%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB23I","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","9","0.18%","9","0.15%","67%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB27E","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","2","0.04%","2","0.03%","0%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB4CC","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","6","0.12%","7","0.12%","86%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB4DQ","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","5","0.10%","5","0.08%","40%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB6J8","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","9","0.18%","9","0.15%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPB7DS","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","3","0.06%","4","0.07%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBB7U","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","5","0.10%","5","0.08%","40%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBHRY","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL","1","0.02%","1","0.02%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBMDI","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","4","0.08%","5","0.08%","0%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBNN2","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","5","0.10%","5","0.08%","40%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBRLK","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL","9","0.18%","14","0.23%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBW4C","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","6","0.12%","6","0.10%","83%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPBY22","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","9","0.18%","9","0.15%","78%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPC03E","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","8","0.16%","8","0.13%","88%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPC14C","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","15","0.30%","16","0.27%","88%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPC3KE","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL","3","0.06%","3","0.05%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCE9O","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","8","0.16%","11","0.18%","55%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCF2K","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","7","0.14%","9","0.15%","67%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCGZ6","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit S(US size:4-6), Tag size: 2XL","4","0.08%","4","0.07%","75%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCIL8","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","3","0.06%","3","0.05%","0%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCKIO","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","4","0.08%","5","0.08%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCOC6","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL","3","0.06%","3","0.05%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCQQK","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","2","0.04%","2","0.03%","0%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPCZZ2","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","6","0.12%","7","0.12%","57%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD21S","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","6","0.12%","6","0.10%","67%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD23G","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","6","0.12%","6","0.10%","67%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD542","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 2XL","4","0.08%","8","0.13%","25%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD5GA","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","5","0.10%","5","0.08%","40%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD7PY","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 3XL","6","0.12%","6","0.10%","17%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPD8YY","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","2","0.04%","2","0.03%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPDHY0","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 4XL","1","0.02%","1","0.02%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01GJPDNQ2","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL","6","0.12%","6","0.10%","83%","0","0.00%","US$0.00","0"
"B01H14OWBA","B01H14OWBA","Summer Mae Womens Totem Bandeau 2 Pc Swimwear Plus Size Tankini","11","0.22%","13","0.22%","0%","0","0.00%","US$0.00","0"
"B01H1Q93C6","B01H1Q93C6","Summer Mae 50s Elegant Inspired Retro Vintage One Piece Pin up Monokinis Swimsuit","4","0.08%","4","0.07%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DX8XY","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit","1","0.02%","1","0.02%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DX9LA","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 46 Yellow","4","0.08%","4","0.07%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DXA46","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 48 Purple","4","0.08%","4","0.07%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DXA64","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 48 Yellow","4","0.08%","4","0.07%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DXB8Q","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 52 Purple","6","0.12%","7","0.12%","57%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DXBBS","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 52 Yellow","6","0.12%","6","0.10%","0%","0","0.00%","US$0.00","0"
"B01H6DX8XY","B01H6DXBQI","Summer Mae Women's Plus Size Retro Floral Two Pieces Tankini Top & Bottom Swimsuit 54 Purple","5","0.10%","5","0.08%","0%","0","0.00%","US$0.00","0"
"B071RSFFND","B01H7074XQ","Summer Mae Womens Plus Size Back Polka Dot Classic 2 Pc Plus Size Tankini M","23","0.47%","24","0.40%","100%","0","0.00%","US$0.00","0"
"B071RSFFND","B01H7078BY","Summer Mae Womens Plus Size Back Polka Dot Classic 2 Pc Plus Size Tankini 4XL","4","0.08%","4","0.07%","50%","0","0.00%","US$0.00","0"
"B071RSFFND","B01H7079W2","Summer Mae Womens Plus Size Back Polka Dot Classic 2 Pc Plus Size Tankini 4XL","6","0.12%","6","0.10%","50%","0","0.00%","US$0.00","0"
"B01H14OWBA","B01HTJ8SVM","Summer Mae Women's Classic Striped Two Piece Swimwear Plus Size Tankini Top & Bottom M","5","0.10%","5","0.08%","80%","0","0.00%","US$0.00","0"
"B01H14OWBA","B01HTJ8YUM","Summer Mae Women's Classic Striped Two Piece Swimwear Plus Size Tankini Top & Bottom L","4","0.08%","4","0.07%","50%","0","0.00%","US$0.00","0"
"B071RSG7X8","B01HZ9RULA","Summer Mae Stylish Cross Back Camo Tankini Set for Women","7","0.14%","7","0.12%","0%","0","0.00%","US$0.00","0"
"B071RSG7X8","B01HZ9S0P0","Summer Mae Stylish Cross Back Camo Tankini Set for Women","3","0.06%","3","0.05%","67%","0","0.00%","US$0.00","0"
"B071RSG7X8","B01HZ9S43S","Summer Mae Stylish Cross Back Camo Tankini Set for Women","4","0.08%","4","0.07%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01I2I94IA","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XS","28","0.57%","33","0.55%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01I2I94LC","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit L","4","0.08%","7","0.12%","100%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01I2I95HU","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit S","5","0.10%","5","0.08%","60%","0","0.00%","US$0.00","0"
"B01GJPAXLU","B01I2I96ME","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit M","7","0.14%","7","0.12%","86%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01ID5DU64","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","10","0.20%","13","0.22%","15%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01ID5DUD2","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","5","0.10%","5","0.08%","80%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01ID5DYO2","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","7","0.14%","7","0.12%","100%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01ID5E5ZY","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","4","0.08%","4","0.07%","75%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01ID5EO6E","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","4","0.08%","4","0.07%","75%","0","0.00%","US$0.00","0"
"B07927XCLN","B01IEYL9FI","Summer Mae Women's Plus Size Flower Prints Triangle One Piece Swimsuits Red 54","3","0.06%","3","0.05%","0%","0","0.00%","US$0.00","0"
"B01IQP5C30","B01IQP4X8A","Summer Mae Women's Vintage Floral Polka Dot One Piece Swimwear Cover Up Swimdress 2XL Blue","4","0.08%","4","0.07%","75%","0","0.00%","US$0.00","0"
"B01IQP5C30","B01IQP4Y6Q","Summer Mae Women's Vintage Floral Polka Dot One Piece Swimwear Cover Up Swimdress 3XL Blue","2","0.04%","2","0.03%","0%","0","0.00%","US$0.00","0"
"B01IQP5C30","B01IQP5C30","Summer Mae Women's Mesh Vintage Polka Dot One Piece Swimwear Cover Up Swimdress","1","0.02%","1","0.02%","0%","0","0.00%","US$0.00","0"
"B07927XCLN","B01J5AL630","Summer Mae Women's Plus Size Wrap Bandeau Colorblock Swimdress White L","3","0.06%","3","0.05%","100%","0","0.00%","US$0.00","0"
"B01J7RKVZA","B01J7RKVZA","Summer Mae Plus Size Floral Printed Blouson Plus Size Swimwear Tankini","4","0.08%","4","0.07%","50%","0","0.00%","US$0.00","0"
"B01J7RKVZA","B01J7RL0OG","Summer Mae Plus Size Floral Printed Blouson Plus Size Swimwear Tankini US 12-14","12","0.24%","13","0.22%","77%","0","0.00%","US$0.00","0"
"B01J7RKVZA","B01J7RL2DA","Summer Mae Plus Size Floral Printed Blouson Plus Size Swimwear Tankini US 14-16","20","0.41%","21","0.35%","100%","0","0.00%","US$0.00","0"
"B07927PLZ2","B01J7T07WA","Summer Mae Women's Back Geometry Tankini Top With Boyshorts Grey L","1","0.02%","1","0.02%","0%","0","0.00%","US$0.00","0"
"B078RX1V4Y","B01JZ1FSJ2","Summer Mae Women's One Piece Bathing Suit Slim Tummy Control Swimwear 52 Red","1","0.02%","1","0.02%","0%","0","0.00%","US$0.00","0"
"B078RX1V4Y","B01JZ1H11U","Summer Mae Women's One Piece Bathing Suit Slim Tummy Control Swimwear 48 Dot ZL","5","0.10%","5","0.08%","60%","0","0.00%","US$0.00","0"
"B01LASSISG","B01LASSISG","Summer Mae Women long Sleeve Loose Clothing Elbow Patch Casual Dress Heather Grey","1","0.02%","1","0.02%","0%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01LVUY9NL","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","15","0.30%","15","0.25%","100%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01LVXE7OG","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","8","0.16%","8","0.13%","100%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01LW1G9P6","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","26","0.53%","26","0.44%","100%","0","0.00%","US$0.00","0"
"B01ID5DU64","B01LWE20EB","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","6","0.12%","6","0.10%","83%","0","0.00%","US$0.00","0"
