Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CFY-M1798-BK-XL	B076T6LXHL	B076T6LXHL	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Black 2 X-Large	New	179.00	No		Yes	0	0	0	0	0	0.71	0	0	0
CFY-M1798-BK-XXL	B076SR28L3	B076SR28L3	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Black 2 XX-Large	New	179.00	No		Yes	1	1	0	0	1	0.53	0	0	0
CFY-M1798-BL-L	B076SSZ3YW	B076SSZ3YW	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Blue 2 Large	New	179.00	No		Yes	0	0	0	0	0	0.68	0	0	0
CFY-M1798-BL-M	B076STBB7P	B076STBB7P	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Blue 2 Medium	New	179.00	No		Yes	0	0	0	0	0	0.59	0	0	0
CFY-M1798-BL-S	B076T626JT	B076T626JT	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Blue 2 Small	New	179.00	No		Yes	0	0	0	0	0	0.46	0	0	0
CFY-M1798-BL-XXL	B076T626JS	B076T626JS	MOCOTONO Men's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Blue 2 XX-Large	New	179.00	No		Yes	0	0	0	0	0	0.68	0	0	0
CFY-M1798-RD-L	B076SLVQ2Q	B076SLVQ2Q	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat (Large, Red 3)	New	65.98	No		Yes	1	0	1	0	1	0.68	0	0	0
CFY-M1798-RD-M	B076SR2N5S	B076SR2N5S	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Red 2 Medium	New	60.98	No		Yes	0	0	0	0	0	0.68	0	0	0
CFY-M1798-RD-S	B076STWKGB	B076STWKGB	MOCOTONO Women's Waterproof Rain Jacket Fleece Snow Ski Winter Coat Red 2 Small	New	60.98	No		Yes	1	1	0	0	1	0.4	0	0	0
CFY-M1830-AG-M	B076TZ1VLJ	B076TZ1VLJ	MOCOTONO Men's Rain Waterproof Winter Jacket Sports Snow Ski Outdoor Coat Army Green Medium	New	179.00	No		Yes	0	0	0	0	0	0.73	0	0	0
