Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
CS-NEW181-WR917-XL	X001UDJ3M3	B0789C9VYH	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Wine Red,X-Large	1	0	0	1
CS-NEW181-ZL918-XL	X001UDX5GD	B0789KX4J2	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Navy Blue,X-Large	4	1	1	2
CS-SB002-BK-L	B074DV9RC7	B074DV9RC7	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Black Large	1	0	0	1
CS-NEW181-LG907-S	X001UDIQBR	B073PQ12FL	MOCOTONO Men's Oxford Long Sleeve Button Down Casual Dress Shirt Light Gray Small	11	0	11	0
CS-NEW181-WR917-XXL	X001UDWXHF	B0789FBLZS	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Wine Red,XX-Large	5	0	4	1
CS-NEW181-WR917-S	X001UDJ477	B07FSJFJCM	Men's Oxford Long Sleeve Button Down Casual Dress Shirt Wine Red Small	5	0	5	0
CS-NEW181-LG907-XXL	X001UDYE3L	B0789C4JV1	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,XX-Large	16	1	14	1
CS-NEW181-LG907-XL	X001UDFGAB	B0789C7SK6	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,X-Large	11	0	10	1
CS-NEW181-WR917-M	X001UDX5GX	B0789BVM4L	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Wine Red,Medium	1	1	0	0
CS-NEW181-LG907-L	X001UDWMXF	B07899ZPHF	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,Large	8	0	8	0
CS-SB003-B0-L	B074PN8TB2	B074PN8TB2	Men's Long Sleeve Denim Solid Double-Pocket Shirt Blue Large	1	1	0	0
