Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BDB-LUHM001-K0	X001T67EGN	B07DQL77MR	Lastia Large Capacity Soft Cooler Insulated Outdoor Picnic Lunch Bag/Makeup bag for Grocery, Camping, Car, Travel(Black,7.5x6.3x5.9In)	New	20.99	No		Yes	0	0	0	0	0	0.05	0	0	0
BDB-LUHM001-R0	X001T674YF	B07DQMJRJG	Lastia Large Capacity Soft Cooler Insulated Outdoor Picnic Lunch Bag/Makeup Bag Grocery, Camping, Car, Travel(Red Flower,7.5x6.3x5.9In)	New	20.99	No		Yes	3	3	0	0	3	0	0	0	0
BDB-LUHM001-Y0	X001T66KLX	B07DQPGWNM	Lastia Large Capacity Soft Cooler Insulated Outdoor Picnic Lunch Bag/Makeup bag for Grocery, Camping, Car, Travel(Yellow,7.5x6.3x5.9In)	New	20.99	No		Yes	0	0	0	0	0	0.06	0	0	0
BDB-LUHM001-ZL	X001T67QRP	B07DQT2DCN		Unknown					0	0	0	0	0		0	0	0
BDB-WF212-BJX-M	B0772TKSHM	B0772TKSHM	Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Cartoon Polar Bear	New	10.99	No		Yes	0	0	0	0	0	0	0	0	0
BDB-WF212-CW-M	B0772JDLB6	B0772JDLB6	Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Cartoon Hedgehog	New	9.99	No		Yes	2	0	0	2	2	0.06	0	0	0
BDB-WF212-JY-M	B0772QKV4C	B0772QKV4C	Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Whale Pattern	New	9.99	No		Yes	1	0	1	0	1	0	0	0	0
BDB-WF212-SH-M	B0772934HW	B0772934HW	Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Floral Print	New	9.99	No		Yes	7	7	0	0	7	0.04	0	0	0
BDB-WF212-SJS-M	B0772JJ5YH	B0772JJ5YH	Lastia Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Tree	New	9.77	No		Yes	3	3	0	0	3	0.05	0	0	0
BLT-LUHM000-CL	X001R0K643	B07BV8R441	Monitor Memo Board Computer Monitors Notes Holder and Reminder Acrylic Message Boards Memo Pads Sticky Board For Paper Sticky Notes Cat Left	New	13.99	No		Yes	12	12	0	0	12	0.01	0	0	0
BLT-LUHM000-CR	X001QZZTQT	B07CDD7CHN	Monitor Memo Board Computer Monitors Notes Holder and Reminder Acrylic Message Boards Memo Pads Sticky Board for Paper Sticky Notes Cat Right	New	13.99	No		Yes	0	0	0	0	0	0	0	0	0
