"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06XF5DVPM","B06X96LPDF","Bikini Push Up Traje de Baño Dos Piezas Alto Cintura para Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B06XCB5NG5","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","50","2.30%","90","3.17%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B06XCMRYC8","Summer Mae Traje de una Pieza Verde Retro - Bordes Blancos - Mujer","30","1.38%","35","1.23%","37%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XDHQSTR","B06XCMWGD1","Summer Mae Conjuntos De Bikini - Estribos Doble - Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B06XCPNNCK","Summer Mae Traje de una Pieza Verde Retro - Bordes Blancos - Mujer","15","0.69%","17","0.60%","88%","1","0","6.67%","0.00%","€10.00","€0.00","1","0"
"B06XDHQSTR","B06XCR3R6C","Summer Mae Conjuntos De Bikini - Estribos Doble - Mujer","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XDHQSTR","B06XCR5MFR","Summer Mae Conjuntos De Bikini - Estribos Doble - Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B06XCS2MZG","Summer Mae Traje de una Pieza Verde Retro - Bordes Blancos - Mujer","3","0.14%","3","0.11%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B06XD4PJ1N","Summer Mae Traje de baño de Una Pieza Elegante Push up Cuello Halter para Mujer","650","29.94%","862","30.36%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XDHQSTR","B06XDHQSTR","Summer Mae Conjuntos De Bikini - Estribos Doble - Mujer","2","0.09%","2","0.07%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XF5DVPM","B06XF5DVPM","Summer Mae Bikini Push Up Traje de Baño Dos Piezas Alto Cintura para Mujer","6","0.28%","6","0.21%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XF85QR8","B06XF85QR8","Summer Mae Mujer Conjuntos De Bikini Elástico Floral Acolchado Con Tejer","11","0.51%","13","0.46%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZ1TK4M","B06XFWP9YY","Summer Mae Traje de Baño 1 Pieza Tallas Grandes Cabestro Acolchado Push Up Tankini para Mujer","6","0.28%","7","0.25%","29%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XPB6WN6","B06XH5FTSX","Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XPB6WN6","B06XH78YXT","Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer","2","0.09%","2","0.07%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B072L237GX","B06XRNB58K","Traje de una pieza Sexy Floral Bañador con Volantes para Mujer","1","0.05%","1","0.04%","100%","1","0","100.00%","0.00%","€15.99","€0.00","1","0"
"B075DZP66M","B06XRS7JPY","Mocotono Camisa de Franela de Cuadros Casual con Manga Larga para Hombre Negro M","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075DZP66M","B06XYNCHQB","Mocotono Camisa de Franela de Cuadros Casual con Manga Larga para Hombre Rojo S","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B06XYZ3CBT","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","5","0.23%","8","0.28%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B06XYZS6NS","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B06XZ13X21","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","13","0.60%","16","0.56%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B06XZ27GZV","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","1","0.05%","1","0.04%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B06XZ37ZL7","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","7","0.32%","7","0.25%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07256TJS7","B06Y68W52F","Summer Mae Bikinis Impresión Floral Traje de baño de alta cintura Elegante para Mujer","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B06ZXW62V9","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","3","0.14%","5","0.18%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B06ZY9HV1B","Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre","5","0.23%","5","0.18%","60%","1","0","20.00%","0.00%","€14.89","€0.00","1","0"
"B06ZZ4212Q","B06ZYG4ST4","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","2","0.09%","5","0.18%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B06ZZ4212Q","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","18","0.83%","34","1.20%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B0711149ZH","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071115242","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","11","0.51%","19","0.67%","84%","1","0","9.09%","0.00%","€14.89","€0.00","1","0"
"B075D3MR7T","B0711Q8WDR","Mocotono Camisa de Franela de Cuadros Casual Manga Larga y Cuello Abotonado para Hombre Rojo/Blanco/Azul S","12","0.55%","12","0.42%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B0711R9KHM","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.09%","2","0.07%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XDKHG1","B071213Z1S","Summer Mae Bandeau Bañador de Dos Pieza Retorcido Bikini Set Hálter Brasileño para Mujer","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B072L237GX","B07125GXYP","Traje de una pieza Sexy Floral Bañador con Volantes para Mujer","4","0.18%","4","0.14%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075D3MR7T","B07149VLDC","Mocotono Camisa de Franela de Cuadros Casual Manga Larga y Cuello Abotonado para Hombre Rojo/Negro M","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XDKHG1","B0714LPFKJ","Summer Mae Bandeau Bañador de Dos Pieza Retorcido Bikini Set Hálter Brasileño para Mujer","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B078HRZHH2","B0716BBDVV","Summer Mae Camiseta Mangas Largas Algodón Deporte Oficina Botón Cuello V Pico para Hombre","3","0.14%","3","0.11%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B0716BBDW3","B0716BBDW3","Summer Mae Camiseta Mangas Largas Algodón Deporte Oficina Botón Cuello V Pico para Hombre","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075D3MR7T","B0719P8LD3","Mocotono Camisa de Franela de Cuadros Casual Manga Larga y Cuello Abotonado para Hombre Amarillo/Blanco/Azul 2XL","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B072L237GX","B0719XB27K","Traje de una pieza Sexy Floral Bañador con Volantes para Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071DJKWRB","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","6","0.28%","18","0.63%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B071F8K78X","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.09%","2","0.07%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XHQW5Q","B071GNGKZ9","Summer Mae Tankini Floral Traje de Baño Dos Piezas Retro para Mujer","2","0.09%","2","0.07%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073RF453P","B071GTJNGZ","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","4","0.18%","4","0.14%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073RF453P","B071GTK6BT","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","3","0.14%","3","0.11%","100%","1","0","33.33%","0.00%","€18.99","€0.00","1","0"
"B073RF453P","B071GTK9BS","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","3","0.14%","3","0.11%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B071KBQNZ5","Summer Mae Traje de baño de Una Pieza Elegante Push up Cuello Halter para Mujer","9","0.41%","11","0.39%","82%","1","0","11.11%","0.00%","€18.88","€0.00","1","0"
"B073RF453P","B071KFGNBJ","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","7","0.32%","9","0.32%","33%","1","0","14.29%","0.00%","€18.99","€0.00","1","0"
"B073RF453P","B071KFHNV3","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","3","0.14%","3","0.11%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B071LFK69M","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.09%","2","0.07%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071N9PLPJ","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","3","0.14%","4","0.14%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B071RBF645","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","4","0.18%","5","0.18%","60%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071RGFBLT","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","4","0.18%","7","0.25%","86%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XDKHG1","B071SGP4ZN","Summer Mae Bandeau Bañador de Dos Pieza Retorcido Bikini Set Hálter Brasileño para Mujer","6","0.28%","7","0.25%","14%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071V2B5SZ","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","4","0.18%","5","0.18%","60%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B071VS9Y2M","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.05%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075D3MR7T","B071VYBRWZ","Mocotono Camisa de Franela de Cuadros Casual Manga Larga y Cuello Abotonado para Hombre Rojo/Blanco/Azul 2XL","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B071X8SHY6","Traje de baño de Una Pieza Elegante Push up Cuello Halter para Mujer","18","0.83%","34","1.20%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073RF453P","B071XCJWF6","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","22","1.01%","32","1.13%","28%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071XXJL4R","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","1","0.05%","2","0.07%","100%","1","0","100.00%","0.00%","€14.89","€0.00","1","0"
"B071YMNGSG","B071Y6HHFS","Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre","2","0.09%","2","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B071YC8FZY","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","3","0.14%","3","0.11%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06ZZ4212Q","B071YCFJHT","Summer Mae Verano Mujer Sexy Traje de Baño Bikini Flexiones","14","0.64%","29","1.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B071YMNGSG","B071YMNGSG","Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre","66","3.04%","94","3.31%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XHQW5Q","B0721MLN6J","Summer Mae Tankini Floral Traje de Baño Dos Piezas Retro para Mujer","4","0.18%","5","0.18%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XD4PJ1N","B0721PV6W2","Summer Mae Traje de baño de Una Pieza Elegante Push up Cuello Halter para Mujer","55","2.53%","69","2.43%","80%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073RF453P","B0721SQ1SP","Summer Mae Traje de baño Elegante Adelgazante Una Pieza Push up para Mujer","5","0.23%","8","0.28%","75%","1","0","20.00%","0.00%","€18.99","€0.00","1","0"
"B073XDKHG1","B072C4YTVR","Summer Mae Bandeau Bañador de Dos Pieza Retorcido Bikini Set Hálter Brasileño para Mujer","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06Y1YY9MK","B072FFTZS8","Summer Mae Mujer Trajes de baño con Cinta Bikini Cabestro","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073XDKHG1","B072FQR5MZ","Summer Mae Bandeau Bañador de Dos Pieza Retorcido Bikini Set Hálter Brasileño para Mujer","6","0.28%","6","0.21%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B075D3MR7T","B072J7L4LR","Mocotono Camisa de Franela de Cuadros Casual Manga Larga y Cuello Abotonado para Hombre Castaña/Blanco/Azul 2XL","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B073VDN5VZ","B072JM6PWD","Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer","1","0.05%","1","0.04%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
