snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-06-13	HF-g104e-PCFS	X001S7TVY1	B00117F5PG	Premier Dead Sea Vitamin Concentrated Facial Serum, Vitamin E and C, 1.7-Fluid Ounce	New	23	0	23	0	0	0	0	USD	0	0.0	0	0.0	3	23	23	23		64.59	64.59	64.59	0.0	Improve recommendations	25	64.59	0	0	0.0
2018-06-13	MY16055K0XXL	B0761R93J2	B0761R93J2	ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XXL	New	14	0	2	12	0	0	0	USD	12	75.96	0	0.0	1	1	1	1		34.39	34.39	34.39	0.0	Create Sale	0	29.5	364	0	1083.582253
2018-06-13	MY16055ZQS	B0761PL2N2	B0761PL2N2	Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy S	New	7	0	0	7	0	0	0	USD	7	44.31	0	0.0	1	1	1	1		34.39	34.39	34.39	0.0	Improve recommendations	0	34.39	63	0	474.96554
2018-06-13	HF-a77e-TSSS	X001REPG53	B004H07J80	Premier Dead Sea Aromatherapy Mineral Body Treatment, Silver, Salt Scrub, 425-Grams	New	20	0	20	0	0	0	0	USD	0	0.0	0	0.0	18	42	66	66		17.98	17.98	17.98	0.0	Improve recommendations	32	17.98	0	0	0.0
2018-06-13	MY71107MSS	B0761NM3SZ	B0761NM3SZ	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S	New	7	0	1	6	0	0	0	USD	6	74.87	0	0.0	0	0	0	1	Low conversion	40.59	40.59	40.59	0.0	Create Sale	2	38.26	42	0	975.95888
2018-06-13	HF-I2e-AABS	X001QEZ2HB	B000VER1RU	Premier Dead Sea Biox Intensive Age Cream/Anti-age Complex, 2.0400-Fluid Ounce	New	80	0	80	0	0	0	0	USD	0	0.0	0	0.0	0	0	30	64				71.98	-1.0	Edit listing	0	0.0	0	0	0.0
2018-06-13	HF-c7e-LANC	X001S9JTKZ	B002DL9M2G	Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz	New	94	0	94	0	0	0	0	USD	0	0.0	0	0.0	0	2	2	2	Low traffic	39.21	39.21	39.21	0.0	Advertise listing	94	39.21	0	0	0.0
2018-06-13	MY71107K0M	B0761PWSG1	B0761PWSG1	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black M	New	11	0	2	9	0	0	0	USD	9	107.1	0	0.0	0	0	1	3	Low conversion	42.99	42.99	42.99	0.0	Create Sale	0	34.39	343	0	1385.525501
2018-06-13	HF-a6e-LASS	X001Q0JMV7	B002DYY35Y	Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma	New	116	0	116	0	0	0	0	USD	0	0.0	0	0.0	0	4	4	4	Low traffic	17.49	17.49	17.39	0.0	Advertise listing	116	17.49	0	0	0.0
2018-06-13	HF-a85e-RFPM	X001PZ8VYR	B00G71LV3Q	Premier By Dead Sea Premier Refining Facial Peeling Mask 2.04oz, 60ml	New	77	0	77	0	0	0	0	USD	0	0.0	0	0.0	3	3	21	43	Low traffic	49.99	49.99	46.95	0.0	Advertise listing	78	49.99	0	0	0.0
